Device,MAC
allure-speaker,b0:f1:ec:d4:26:ae
appletv,50:32:37:b8:c7:0f
blink-security-hub,00:03:7f:96:d8:ec
bosiwo-camera-wifi,00:0c:43:03:51:be
bosiwo-camera-wired,ae:ca:06:0e:ec:89
charger-camera,fc:ee:e6:2e:23:a3
echodot,cc:f7:35:49:f4:05
echoplus,00:fc:8b:84:22:10
echospot,5c:41:5a:29:ad:97
firetv,cc:f7:35:25:af:4d
google-home,54:60:09:6f:32:84
google-home-mini,20:df:b9:13:e5:2e
honeywell-thermostat,b8:2c:a0:28:3e:6b
lightify-hub,84:18:26:7c:1a:56
magichome-strip,dc:4f:22:89:fc:e7
nest-tstat,64:16:66:2a:98:62
netatmo-weather-station,70:ee:50:36:98:da
ring-doorbell,f0:45:da:36:e6:23
roku-tv,c8:3a:6b:fa:1c:00
samsungtv-wired,fc:03:9f:93:22:62
sengled-hub,b0:ce:18:20:43:bf
smarter-coffee-mach,0c:2a:69:11:01:ba
smartthings-hub,d0:52:a8:a4:e6:46
sousvide,68:c6:3a:ba:c2:6b
t-philips-hub,ec:b5:fa:00:98:da
t-wemo-plug,58:ef:68:99:7d:ed
tplink-bulb,50:c7:bf:ca:3f:9d
tplink-plug,50:c7:bf:b1:d2:78
tplink-plug2,b0:be:76:be:f2:aa
wansview-cam-wired,78:a5:dd:28:a1:b7
xiaomi-cam2,78:11:dc:76:69:b0
xiaomi-cleaner,78:11:dc:ec:a3:ab
xiaomi-hub,7c:49:eb:88:da:82
xiaomi-plug,7c:49:eb:22:30:9c
yi-camera,0c:8c:24:0b:be:fb
